ci     公
ciav   锒
cihs   铖
cijb   铺
cike   钹
cilb   镛
cim    钱
cimbo  颂
cimu   瓮
cioq   链
cipf   镳
cipp   铽
cisy   翁
citc   镰
cite   镀
ciu    钺
cj     针
cjbc   镇
cjbf   镲
cjcl   镩
cjcr   镕
cjka   锗
cjkp   铑
cjks   铐
cjmo   锭
cjnl   郸
cjoc   镔
cjp    铊
cjpu   铙
cjr    钴
cjv    铵
ck     父
ckau   爸
ckb    铕
ckcf   镣
ckd    铩
ckhml  斧
cki    钛
ckjt   锛
cklb   钸
ckmgc  釜
cknin  爹
cksl   爷
ckt    铗
cl     钟
cleg   铿
clll   钏
cllo   镤
cln    钊
clno   镄
cls    钔
clsa   锏
clst   锎
clsw   镧
clw    铀
clyo   铫
cmbw   镭
cmf    钚
cmgi   钰
cmhl   铘
cmn    钉
cmnr   钶
cmrb   镉
cmto   镢
cmvs   兮
cmwf   镖
cmwj   镡
cmym   钲
cmys   钙
cnau   铯
cndt   锰
cng    钮
cnii   镪
cnir   铭
cnkg   铤
cnkq   键
cnlh   弟
cnlr   锕
cnn    钌
cno    钦
cnot   镫
cnsd   铮
cnu    钇
cnwa   镥
cob    钠
cog    锥
cogs   镌
coii   铃
coin   钤
comg   铨
comq   镎
comr   铪
coog   锉
copj   铧
cor    谷
cph    铋
cphp   锪
cpi    钓
cppa   锴
cpu    钝
cpy    钧
cqhk   锲
cqki   铸
cqmb   锖
crhu   兑
crlb   铞
crmg   锃
crno   欲
crob   锅
crp    总
crpsm  鹆
crr    铝
crrs   锷
csh    分
cshg   坌
csho   贫
cshp   忿
csht   盆
cshu   岔
csj    铒
csje   镊
csjr   锯
csme   锓
csp    铌
csr    钷
css    钜
cssr   锔
cta    错
ctak   镆
ctbs   铹
ctct   镒
ctgk   镁
ctkr   锘
ctm    钳
ctoe   镬
ctta   镨
ctw    锚
cu     钆
cusu   铠
cv     钕
cvr    铷
cvvw   锱
cw     钿
cwa    曾
cwd    锞
cwg    锂
cwj    单
cwjr   锢
cwk    铟
cwl    钾
cwli   镯
cwln   锣
cwmr   兽
cwp    锶
cwvf   镙
cxpm   钨
cy     钋
cybs   镑
cycb   镝
cyck   铰
cydk   镦
cyhs   钫
cyhu   钪
cyhv   铱
cyiu   锍
cyj    钭
cylb   铈
cyli   锵
cyr    钻
cyrb   镐
cyrv   镶
cysk   镞
cyso   镟
cyth   铲
cytj   锌
cytp   镱
cytr   锫
cytu   镜
cyvi   铉
d      木
da     杳
dahu   楣
daiu   概
dam    查
dapp   棍
dasy   榻
dau    杷
dav    根
dbb    棚
dbbm   栅
dbdb   棘
dbln   刺
dblu   枧
dbmr   桐
dbnd   桴
dbov   樱
dbu    相
dby    枣
dci    松
dcnh   梯
dd     林
ddam   楂
ddcsh  棼
ddd    森
ddf    焚
ddh    材
ddhh   彬
ddhui  梵
ddi    村
ddixp  麓
ddk    樊
