b p
p pʰ
m m
f f
d t
t tʰ
n n
l l
g k
k kʰ
ng ŋ
h h
gw kʷ
kw kʷʰ
w w
z ts
c tsʰ
s s
j j
aa aː
aai aːi̯
aau aːu̯
aam aːm
aan aːn
aang aːŋ
aap aːp̚
aat aːt̚
aak aːk̚
ai ɐi̯
au ɐu̯
am ɐm
an ɐn
ang ɐŋ
ap ɐp̚
at ɐt̚
ak ɐk̚
e ɛː
ei ei̯
eu ɛːu̯
em ɛːm
eng ɛːŋ
ep ɛːp̚
ek ɛːk̚
i iː
iu iːu̯
im iːm
in iːn
ing eŋ
ip iːp̚
it iːt̚
ik ek̚
o ɔː
oi ɔːy̯
ou ou̯
on ɔːn
ong ɔːŋ
ot ɔːt̚
ok ɔːk̚
u uː
ui uːy̯
un uːn
ung oŋ
ut uːt̚
uk ok̚
oe œː
eoi ɵy̯
eon ɵn
oeng œːŋ
eot ɵt̚
oek œːk̚
yu yː
yun yːn
yut yːt̚
m m̩
ng ŋ̩
baa paː
baai paːi̯
baau paːu̯
baam paːm
baan paːn
baang paːŋ
baap paːp̚
baat paːt̚
baak paːk̚
bai pɐi̯
bau pɐu̯
bam pɐm
ban pɐn
bang pɐŋ
bap pɐp̚
bat pɐt̚
bak pɐk̚
be pɛː
bei pei̯
beu pɛːu̯
bem pɛːm
beng pɛːŋ
bep pɛːp̚
bek pɛːk̚
bi piː
biu piːu̯
bim piːm
bin piːn
bing peŋ
bip piːp̚
bit piːt̚
bik pek̚
bo pɔː
boi pɔːy̯
bou pou̯
bon pɔːn
bong pɔːŋ
bot pɔːt̚
bok pɔːk̚
bu puː
bui puːy̯
bun puːn
bung poŋ
but puːt̚
buk pok̚
boe pœː
beoi pɵy̯
beon pɵn
boeng pœːŋ
beot pɵt̚
boek pœːk̚
byu pyː
byun pyːn
byut pyːt̚
paa pʰaː
paai pʰaːi̯
paau pʰaːu̯
paam pʰaːm
paan pʰaːn
paang pʰaːŋ
paap pʰaːp̚
paat pʰaːt̚
paak pʰaːk̚
pai pʰɐi̯
pau pʰɐu̯
pam pʰɐm
pan pʰɐn
pang pʰɐŋ
pap pʰɐp̚
pat pʰɐt̚
pak pʰɐk̚
pe pʰɛː
pei pʰei̯
peu pʰɛːu̯
pem pʰɛːm
peng pʰɛːŋ
pep pʰɛːp̚
pek pʰɛːk̚
pi pʰiː
piu pʰiːu̯
pim pʰiːm
pin pʰiːn
ping pʰeŋ
pip pʰiːp̚
pit pʰiːt̚
pik pʰek̚
po pʰɔː
poi pʰɔːy̯
pou pʰou̯
pon pʰɔːn
pong pʰɔːŋ
pot pʰɔːt̚
pok pʰɔːk̚
pu pʰuː
pui pʰuːy̯
pun pʰuːn
pung pʰoŋ
put pʰuːt̚
puk pʰok̚
poe pʰœː
peoi pʰɵy̯
peon pʰɵn
poeng pʰœːŋ
peot pʰɵt̚
poek pʰœːk̚
pyu pʰyː
pyun pʰyːn
pyut pʰyːt̚
maa maː
maai maːi̯
maau maːu̯
maam maːm
maan maːn
maang maːŋ
maap maːp̚
maat maːt̚
maak maːk̚
mai mɐi̯
mau mɐu̯
mam mɐm
man mɐn
mang mɐŋ
map mɐp̚
mat mɐt̚
mak mɐk̚
me mɛː
mei mei̯
meu mɛːu̯
mem mɛːm
meng mɛːŋ
mep mɛːp̚
mek mɛːk̚
mi miː
miu miːu̯
mim miːm
min miːn
ming meŋ
mip miːp̚
mit miːt̚
mik mek̚
mo mɔː
moi mɔːy̯
mou mou̯
mon mɔːn
mong mɔːŋ
mot mɔːt̚
mok mɔːk̚
mu muː
mui muːy̯
mun muːn
mung moŋ
mut muːt̚
muk mok̚
moe mœː
meoi mɵy̯
meon mɵn
moeng mœːŋ
meot mɵt̚
moek mœːk̚
myu myː
myun myːn
myut myːt̚
faa faː
faai faːi̯
faau faːu̯
faam faːm
faan faːn
faang faːŋ
faap faːp̚
faat faːt̚
faak faːk̚
fai fɐi̯
fau fɐu̯
fam fɐm
fan fɐn
fang fɐŋ
fap fɐp̚
fat fɐt̚
fak fɐk̚
fe fɛː
fei fei̯
feu fɛːu̯
fem fɛːm
feng fɛːŋ
fep fɛːp̚
fek fɛːk̚
fi fiː
fiu fiːu̯
fim fiːm
fin fiːn
fing feŋ
fip fiːp̚
fit fiːt̚
fik fek̚
fo fɔː
foi fɔːy̯
fou fou̯
fon fɔːn
fong fɔːŋ
fot fɔːt̚
fok fɔːk̚
fu fuː
fui fuːy̯
fun fuːn
fung foŋ
fut fuːt̚
fuk fok̚
foe fœː
feoi fɵy̯
feon fɵn
foeng fœːŋ
feot fɵt̚
foek fœːk̚
fyu fyː
fyun fyːn
fyut fyːt̚
daa taː
daai taːi̯
daau taːu̯
daam taːm
daan taːn
daang taːŋ
daap taːp̚
daat taːt̚
daak taːk̚
dai tɐi̯
dau tɐu̯
dam tɐm
dan tɐn
dang tɐŋ
dap tɐp̚
dat tɐt̚
dak tɐk̚
de tɛː
dei tei̯
deu tɛːu̯
dem tɛːm
deng tɛːŋ
dep tɛːp̚
dek tɛːk̚
di tiː
diu tiːu̯
dim tiːm
din tiːn
ding teŋ
dip tiːp̚
dit tiːt̚
dik tek̚
do tɔː
doi tɔːy̯
dou tou̯
don tɔːn
dong tɔːŋ
dot tɔːt̚
dok tɔːk̚
du tuː
dui tuːy̯
dun tuːn
dung toŋ
dut tuːt̚
duk tok̚
doe tœː
deoi tɵy̯
deon tɵn
doeng tœːŋ
deot tɵt̚
doek tœːk̚
dyu tyː
dyun tyːn
dyut tyːt̚
taa tʰaː
taai tʰaːi̯
taau tʰaːu̯
taam tʰaːm
taan tʰaːn
taang tʰaːŋ
taap tʰaːp̚
taat tʰaːt̚
taak tʰaːk̚
tai tʰɐi̯
tau tʰɐu̯
tam tʰɐm
tan tʰɐn
tang tʰɐŋ
tap tʰɐp̚
tat tʰɐt̚
tak tʰɐk̚
te tʰɛː
tei tʰei̯
teu tʰɛːu̯
tem tʰɛːm
teng tʰɛːŋ
tep tʰɛːp̚
tek tʰɛːk̚
ti tʰiː
tiu tʰiːu̯
tim tʰiːm
tin tʰiːn
ting tʰeŋ
tip tʰiːp̚
tit tʰiːt̚
tik tʰek̚
to tʰɔː
toi tʰɔːy̯
tou tʰou̯
ton tʰɔːn
tong tʰɔːŋ
tot tʰɔːt̚
tok tʰɔːk̚
tu tʰuː
tui tʰuːy̯
tun tʰuːn
tung tʰoŋ
tut tʰuːt̚
tuk tʰok̚
toe tʰœː
teoi tʰɵy̯
teon tʰɵn
toeng tʰœːŋ
teot tʰɵt̚
toek tʰœːk̚
tyu tʰyː
tyun tʰyːn
tyut tʰyːt̚
naa naː
naai naːi̯
naau naːu̯
naam naːm
naan naːn
naang naːŋ
naap naːp̚
naat naːt̚
naak naːk̚
nai nɐi̯
nau nɐu̯
nam nɐm
nan nɐn
nang nɐŋ
nap nɐp̚
nat nɐt̚
nak nɐk̚
ne nɛː
nei nei̯
neu nɛːu̯
nem nɛːm
neng nɛːŋ
nep nɛːp̚
nek nɛːk̚
ni niː
niu niːu̯
nim niːm
nin niːn
ning neŋ
nip niːp̚
nit niːt̚
nik nek̚
no nɔː
noi nɔːy̯
nou nou̯
non nɔːn
nong nɔːŋ
not nɔːt̚
nok nɔːk̚
nu nuː
nui nuːy̯
nun nuːn
nung noŋ
nut nuːt̚
nuk nok̚
noe nœː
neoi nɵy̯
neon nɵn
noeng nœːŋ
neot nɵt̚
noek nœːk̚
nyu nyː
nyun nyːn
nyut nyːt̚
laa laː
laai laːi̯
laau laːu̯
laam laːm
laan laːn
laang laːŋ
laap laːp̚
laat laːt̚
laak laːk̚
lai lɐi̯
lau lɐu̯
lam lɐm
lan lɐn
lang lɐŋ
lap lɐp̚
lat lɐt̚
lak lɐk̚
le lɛː
lei lei̯
leu lɛːu̯
lem lɛːm
leng lɛːŋ
lep lɛːp̚
lek lɛːk̚
li liː
liu liːu̯
lim liːm
lin liːn
ling leŋ
lip liːp̚
lit liːt̚
lik lek̚
lo lɔː
loi lɔːy̯
lou lou̯
lon lɔːn
long lɔːŋ
lot lɔːt̚
lok lɔːk̚
lu luː
lui luːy̯
lun luːn
lung loŋ
lut luːt̚
luk lok̚
loe lœː
leoi lɵy̯
leon lɵn
loeng lœːŋ
leot lɵt̚
loek lœːk̚
lyu lyː
lyun lyːn
lyut lyːt̚
gaa kaː
gaai kaːi̯
gaau kaːu̯
gaam kaːm
gaan kaːn
gaang kaːŋ
gaap kaːp̚
gaat kaːt̚
gaak kaːk̚
gai kɐi̯
gau kɐu̯
gam kɐm
gan kɐn
gang kɐŋ
gap kɐp̚
gat kɐt̚
gak kɐk̚
ge kɛː
gei kei̯
geu kɛːu̯
gem kɛːm
geng kɛːŋ
gep kɛːp̚
gek kɛːk̚
gi kiː
giu kiːu̯
gim kiːm
gin kiːn
ging keŋ
gip kiːp̚
git kiːt̚
gik kek̚
go kɔː
goi kɔːy̯
gou kou̯
gon kɔːn
gong kɔːŋ
got kɔːt̚
gok kɔːk̚
gu kuː
gui kuːy̯
gun kuːn
gung koŋ
gut kuːt̚
guk kok̚
goe kœː
geoi kɵy̯
geon kɵn
goeng kœːŋ
geot kɵt̚
goek kœːk̚
gyu kyː
gyun kyːn
gyut kyːt̚
kaa kʰaː
kaai kʰaːi̯
kaau kʰaːu̯
kaam kʰaːm
kaan kʰaːn
kaang kʰaːŋ
kaap kʰaːp̚
kaat kʰaːt̚
kaak kʰaːk̚
kai kʰɐi̯
kau kʰɐu̯
kam kʰɐm
kan kʰɐn
kang kʰɐŋ
kap kʰɐp̚
kat kʰɐt̚
kak kʰɐk̚
ke kʰɛː
kei kʰei̯
keu kʰɛːu̯
kem kʰɛːm
keng kʰɛːŋ
kep kʰɛːp̚
kek kʰɛːk̚
ki kʰiː
kiu kʰiːu̯
kim kʰiːm
kin kʰiːn
king kʰeŋ
kip kʰiːp̚
kit kʰiːt̚
kik kʰek̚
ko kʰɔː
koi kʰɔːy̯
kou kʰou̯
kon kʰɔːn
kong kʰɔːŋ
kot kʰɔːt̚
kok kʰɔːk̚
ku kʰuː
kui kʰuːy̯
kun kʰuːn
kung kʰoŋ
kut kʰuːt̚
kuk kʰok̚
koe kʰœː
keoi kʰɵy̯
keon kʰɵn
koeng kʰœːŋ
keot kʰɵt̚
koek kʰœːk̚
kyu kʰyː
kyun kʰyːn
kyut kʰyːt̚
ngaa ŋaː
ngaai ŋaːi̯
ngaau ŋaːu̯
ngaam ŋaːm
ngaan ŋaːn
ngaang ŋaːŋ
ngaap ŋaːp̚
ngaat ŋaːt̚
ngaak ŋaːk̚
ngai ŋɐi̯
ngau ŋɐu̯
ngam ŋɐm
ngan ŋɐn
ngang ŋɐŋ
ngap ŋɐp̚
ngat ŋɐt̚
ngak ŋɐk̚
nge ŋɛː
ngei ŋei̯
ngeu ŋɛːu̯
ngem ŋɛːm
ngeng ŋɛːŋ
ngep ŋɛːp̚
ngek ŋɛːk̚
ngi ŋiː
ngiu ŋiːu̯
ngim ŋiːm
ngin ŋiːn
nging ŋeŋ
ngip ŋiːp̚
ngit ŋiːt̚
ngik ŋek̚
ngo ŋɔː
ngoi ŋɔːy̯
ngou ŋou̯
ngon ŋɔːn
ngong ŋɔːŋ
ngot ŋɔːt̚
ngok ŋɔːk̚
ngu ŋuː
ngui ŋuːy̯
ngun ŋuːn
ngung ŋoŋ
ngut ŋuːt̚
nguk ŋok̚
ngoe ŋœː
ngeoi ŋɵy̯
ngeon ŋɵn
ngoeng ŋœːŋ
ngeot ŋɵt̚
ngoek ŋœːk̚
ngyu ŋyː
ngyun ŋyːn
ngyut ŋyːt̚
haa haː
haai haːi̯
haau haːu̯
haam haːm
haan haːn
haang haːŋ
haap haːp̚
haat haːt̚
haak haːk̚
hai hɐi̯
hau hɐu̯
ham hɐm
han hɐn
hang hɐŋ
hap hɐp̚
hat hɐt̚
hak hɐk̚
he hɛː
hei hei̯
heu hɛːu̯
hem hɛːm
heng hɛːŋ
hep hɛːp̚
hek hɛːk̚
hi hiː
hiu hiːu̯
him hiːm
hin hiːn
hing heŋ
hip hiːp̚
hit hiːt̚
hik hek̚
ho hɔː
hoi hɔːy̯
hou hou̯
hon hɔːn
hong hɔːŋ
hot hɔːt̚
hok hɔːk̚
hu huː
hui huːy̯
hun huːn
hung hoŋ
hut huːt̚
huk hok̚
hoe hœː
heoi hɵy̯
heon hɵn
hoeng hœːŋ
heot hɵt̚
hoek hœːk̚
hyu hyː
hyun hyːn
hyut hyːt̚
gwaa kʷaː
gwaai kʷaːi̯
gwaau kʷaːu̯
gwaam kʷaːm
gwaan kʷaːn
gwaang kʷaːŋ
gwaap kʷaːp̚
gwaat kʷaːt̚
gwaak kʷaːk̚
gwai kʷɐi̯
gwau kʷɐu̯
gwam kʷɐm
gwan kʷɐn
gwang kʷɐŋ
gwap kʷɐp̚
gwat kʷɐt̚
gwak kʷɐk̚
gwe kʷɛː
gwei kʷei̯
gweu kʷɛːu̯
gwem kʷɛːm
gweng kʷɛːŋ
gwep kʷɛːp̚
gwek kʷɛːk̚
gwi kʷiː
gwiu kʷiːu̯
gwim kʷiːm
gwin kʷiːn
gwing kʷeŋ
gwip kʷiːp̚
gwit kʷiːt̚
gwik kʷek̚
gwo kʷɔː
gwoi kʷɔːy̯
gwou kʷou̯
gwon kʷɔːn
gwong kʷɔːŋ
gwot kʷɔːt̚
gwok kʷɔːk̚
gwu kʷuː
gwui kʷuːy̯
gwun kʷuːn
gwung kʷoŋ
gwut kʷuːt̚
gwuk kʷok̚
gwoe kʷœː
gweoi kʷɵy̯
gweon kʷɵn
gwoeng kʷœːŋ
gweot kʷɵt̚
gwoek kʷœːk̚
gwyu kʷyː
gwyun kʷyːn
gwyut kʷyːt̚
kwaa kʷʰaː
kwaai kʷʰaːi̯
kwaau kʷʰaːu̯
kwaam kʷʰaːm
kwaan kʷʰaːn
kwaang kʷʰaːŋ
kwaap kʷʰaːp̚
kwaat kʷʰaːt̚
kwaak kʷʰaːk̚
kwai kʷʰɐi̯
kwau kʷʰɐu̯
kwam kʷʰɐm
kwan kʷʰɐn
kwang kʷʰɐŋ
kwap kʷʰɐp̚
kwat kʷʰɐt̚
kwak kʷʰɐk̚
kwe kʷʰɛː
kwei kʷʰei̯
kweu kʷʰɛːu̯
kwem kʷʰɛːm
kweng kʷʰɛːŋ
kwep kʷʰɛːp̚
kwek kʷʰɛːk̚
kwi kʷʰiː
kwiu kʷʰiːu̯
kwim kʷʰiːm
kwin kʷʰiːn
kwing kʷʰeŋ
kwip kʷʰiːp̚
kwit kʷʰiːt̚
kwik kʷʰek̚
kwo kʷʰɔː
kwoi kʷʰɔːy̯
kwou kʷʰou̯
kwon kʷʰɔːn
kwong kʷʰɔːŋ
kwot kʷʰɔːt̚
kwok kʷʰɔːk̚
kwu kʷʰuː
kwui kʷʰuːy̯
kwun kʷʰuːn
kwung kʷʰoŋ
kwut kʷʰuːt̚
kwuk kʷʰok̚
kwoe kʷʰœː
kweoi kʷʰɵy̯
kweon kʷʰɵn
kwoeng kʷʰœːŋ
kweot kʷʰɵt̚
kwoek kʷʰœːk̚
kwyu kʷʰyː
kwyun kʷʰyːn
kwyut kʷʰyːt̚
waa waː
waai waːi̯
waau waːu̯
waam waːm
waan waːn
waang waːŋ
waap waːp̚
waat waːt̚
waak waːk̚
wai wɐi̯
wau wɐu̯
wam wɐm
wan wɐn
wang wɐŋ
wap wɐp̚
wat wɐt̚
wak wɐk̚
we wɛː
wei wei̯
weu wɛːu̯
wem wɛːm
weng wɛːŋ
wep wɛːp̚
wek wɛːk̚
wi wiː
wiu wiːu̯
wim wiːm
win wiːn
wing weŋ
wip wiːp̚
wit wiːt̚
wik wek̚
wo wɔː
woi wɔːy̯
wou wou̯
won wɔːn
wong wɔːŋ
wot wɔːt̚
wok wɔːk̚
wu wuː
wui wuːy̯
wun wuːn
wung woŋ
wut wuːt̚
wuk wok̚
woe wœː
weoi wɵy̯
weon wɵn
woeng wœːŋ
weot wɵt̚
woek wœːk̚
wyu wyː
wyun wyːn
wyut wyːt̚
zaa tsaː
zaai tsaːi̯
zaau tsaːu̯
zaam tsaːm
zaan tsaːn
zaang tsaːŋ
zaap tsaːp̚
zaat tsaːt̚
zaak tsaːk̚
zai tsɐi̯
zau tsɐu̯
zam tsɐm
zan tsɐn
zang tsɐŋ
zap tsɐp̚
zat tsɐt̚
zak tsɐk̚
ze tsɛː
zei tsei̯
zeu tsɛːu̯
zem tsɛːm
zeng tsɛːŋ
zep tsɛːp̚
zek tsɛːk̚
zi tsiː
ziu tsiːu̯
zim tsiːm
zin tsiːn
zing tseŋ
zip tsiːp̚
zit tsiːt̚
zik tsek̚
zo tsɔː
zoi tsɔːy̯
zou tsou̯
zon tsɔːn
zong tsɔːŋ
zot tsɔːt̚
zok tsɔːk̚
zu tsuː
zui tsuːy̯
zun tsuːn
zung tsoŋ
zut tsuːt̚
zuk tsok̚
zoe tsœː
zeoi tsɵy̯
zeon tsɵn
zoeng tsœːŋ
zeot tsɵt̚
zoek tsœːk̚
zyu tsyː
zyun tsyːn
zyut tsyːt̚
caa tsʰaː
caai tsʰaːi̯
caau tsʰaːu̯
caam tsʰaːm
caan tsʰaːn
caang tsʰaːŋ
caap tsʰaːp̚
caat tsʰaːt̚
caak tsʰaːk̚
cai tsʰɐi̯
cau tsʰɐu̯
cam tsʰɐm
can tsʰɐn
cang tsʰɐŋ
cap tsʰɐp̚
